ID,Feature / Area,Page / Route,Description,Priority,Status,Environment,Last Updated,Test Instructions,Notes,,
TASK-011,AI Tools,"/bugfix, /imports, /investor/wholesaler",Fix AI Usage Reporting,High,Not Started,Both,11/30/2025,"1) Login as admin.
2) Navigate to AI usage reporting page.
3) Verify usage metrics display correctly for all users.
4) Test filtering by user, date range, feature type.
5) Verify quota tracking matches actual usage.",Usage tracking and quota logic implemented; admin-facing reporting UI still missing.,,
TASK-012,Infrastructure,"/bugfix, /imports, /investor/wholesaler",Fix production env vars,High,Passed Testing,Both,11/30/2025,"1) Review all environment variables required for production.
2) Verify all required vars are set in Vercel production environment.
3) Check that sensitive keys (API keys, secrets) are properly secured.
4) Test application startup with all env vars configured.
5) Verify no missing or undefined env var errors in production logs.",,,
TASK-013,Listings,"/bugfix, /imports, /investor/wholesaler",Improve image carousel,Low,Not Started,Both,11/30/2025,"1) Navigate to a listing with multiple images.
2) Verify carousel displays all images correctly.
3) Test navigation (next/previous arrows, dots).
4) Verify smooth transitions and animations.
5) Test on mobile and desktop.",Carousel works at a basic level but still needs UX and polish; no focused work completed yet.,,
TASK-014,Listings,"/bugfix, /imports, /investor/wholesaler",Add pagination or infinite scroll,Low,Not Started,Both,11/30/2025,"1) Navigate to listings page with many results.
2) Verify pagination or infinite scroll works correctly.
3) Test page navigation (if pagination) or scroll loading (if infinite scroll).
4) Verify URL parameters update correctly.
5) Test with filters applied.",Listing pagination/scrolling not yet implemented.,,
TASK-015,AI Tools,"/bugfix, /imports, /investor/wholesaler",Add downloadable PDF output,High,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Add downloadable PDF output.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",No PDF generation pipeline exists for AI reports yet.,,
TASK-016,Analytics,"/bugfix, /imports, /investor/wholesaler",Add national trend scraping,High,Not Started,Both,11/30/2025,"1) Admin login.
2) Open /admin/analytics.
Expected: Dashboard loads with metrics; no NaN/undefined.

1) Change date range.
Expected: Charts and metrics update cleanly.

1) Click “view more”.
Expected: Routes correctly to detail pages.",No national trend scraping jobs implemented.,,
TASK-017,Analytics,"/bugfix, /imports, /investor/wholesaler",Add RecData sold comps,High,Not Started,Both,11/30/2025,"1) Admin login.
2) Open /admin/analytics.
Expected: Dashboard loads with metrics; no NaN/undefined.

1) Change date range.
Expected: Charts and metrics update cleanly.

1) Click “view more”.
Expected: Routes correctly to detail pages.",,,
TASK-018,CRM,"/bugfix, /imports, /investor/wholesaler",Add lead notes section,High,Not Started,Both,11/30/2025,"1) Navigate to CRM/leads section.
2) Select a lead.
3) Verify notes field/section is available.
4) Add, edit, and delete notes.
5) Verify notes persist and display correctly.",Notes field and UI for leads not implemented.,,
TASK-019,UX,"/bugfix, /imports, /investor/wholesaler",Improve homepage design,Medium,Not Started,Both,11/30/2025,"1) Navigate to homepage.
2) Verify new design matches Redfin/Zillow quality standards.
3) Test responsive design on mobile, tablet, desktop.
4) Verify value proposition is clear and compelling.
5) Test all CTAs and navigation elements.",Homepage functional but needs visual redesign and stronger value proposition.,,
TASK-020,UX,"/bugfix, /imports, /investor/wholesaler",Add testimonials and trust badges,High,Not Started,Both,11/30/2025,"1) Navigate to homepage.
2) Verify testimonials section displays correctly.
3) Verify trust badges/logos are visible.
4) Test on mobile and desktop.
5) Verify testimonials rotate or display appropriately.",No testimonials/trust content currently displayed.,,
TASK-021,UX,"/bugfix, /imports, /investor/wholesaler",Add loading skeletons,Low,Not Started,Both,11/30/2025,"1) Navigate to listings page.
2) Trigger slow network (throttle in dev tools).
3) Verify skeleton loaders display during data fetch.
4) Verify skeletons match final content layout.
5) Test on multiple pages that load data.",Skeleton loaders not implemented for key views.,,
TASK-022,Onboarding,"/bugfix, /imports, /investor",Add wholesaler/investor flows,High,Not Started,Both,11/30/2025,"1) Test new user signup flow for wholesaler.
2) Test new user signup flow for investor.
3) Verify onboarding steps guide users appropriately.
4) Test flow completion and profile setup.",,,
TASK-023,Onboarding,"/bugfix, /imports, /investor/wholesaler",Add landing page lead capture,High,Not Started,Both,11/30/2025,"1) Visit landing page as anonymous user.
2) Verify lead capture form is prominent and clear.
3) Submit test lead information.
4) Verify lead is saved to database.
5) Test email notification is sent (if applicable).",,,
TASK-024,Backend,"/bugfix, /imports, /investor/wholesaler",Add DB indexing,High,Not Started,Both,11/30/2025,"1) Review database schema and identify slow queries.
2) Create indexes on frequently queried columns.
3) Test query performance before and after indexing.
4) Verify no negative impact on write performance.
5) Monitor query execution times in production.",,,
TASK-025,Backend,"/bugfix, /imports, /investor/wholesaler",Add rate limits to public APIs,High,Not Started,Both,11/30/2025,"1) Identify public API endpoints.
2) Implement rate limiting middleware.
3) Test rate limit enforcement by making excessive requests.
4) Verify appropriate error responses (429 Too Many Requests).
5) Test rate limit reset and recovery.",No formal rate limiting on public APIs yet.,,
TASK-026,Marketing,"/bugfix, /imports, /investor/wholesaler",Add blog system,Low,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Add blog system.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-027,Marketing,"/bugfix, /imports, /investor/wholesaler",SEO article templates,Medium,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: SEO article templates.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-028,Marketing,"/bugfix, /imports, /investor/wholesaler",Add wholesaling document packs,Medium,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Add wholesaling document packs.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-029,Marketing,"/bugfix, /imports, /investor/wholesaler",Add PDF lead magnets,Medium,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Add PDF lead magnets.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-030,Education,"/bugfix, /imports, /investor/wholesaler",Wholesaling 101 module,Medium,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Wholesaling 101 module.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-031,Education,"/bugfix, /imports, /investor/wholesaler",Seller scripts,Low,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Seller scripts.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-032,Education,"/bugfix, /imports, /investor/wholesaler",Buyer scripts,Low,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Buyer scripts.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-033,Education,"/bugfix, /imports, /investor/wholesaler",How-to videos,Low,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: How-to videos.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-034,Education,"/ARV/ROI, /bugfix, /imports",MAO/ARV/ROI calculators,High,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /ARV/ROI, /bugfix, /imports.
2) Verify feature/functionality works as described: MAO/ARV/ROI calculators.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-035,Investor Tools,"/bugfix, /imports, /investor/wholesaler",Distressed area heatmaps,High,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Distressed area heatmaps.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-036,Investor Tools,"/bugfix, /imports, /investor/wholesaler",Rental yield analyzer,High,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Rental yield analyzer.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-037,Investor Tools,"/bugfix, /imports, /investor/wholesaler",Cashflow calculator,High,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Cashflow calculator.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-038,Investor Tools,"/bugfix, /imports, /investor/wholesaler",Market comparison tool,High,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Market comparison tool.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-039,Subscriptions,"/bugfix, /imports, /investor/wholesaler",Referral system,Low,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Referral system.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-040,Subscriptions,"/bugfix, /imports, /investor/wholesaler",Promo codes,Low,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Promo codes.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-041,Subscriptions,"/bugfix, /imports, /investor/wholesaler",Featured Listing add-on,Low,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Featured Listing add-on.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-042,UX,"/bugfix, /imports, /investor/wholesaler",Dark mode,High,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Dark mode.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-043,UX,"/bugfix, /imports, /investor/wholesaler",Improved animations,High,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Improved animations.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-044,Mobile App,"/bugfix, /imports, /investor/wholesaler",Native app build,High,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Native app build.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-045,Mobile App,"/bugfix, /imports, /investor/wholesaler",Push notifications,Medium,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Push notifications.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-046,Mobile App,"/bugfix, /imports, /investor/wholesaler",Offline mode,Medium,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Offline mode.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-047,Branding,"/bugfix, /imports, /investor/wholesaler",Video ads,Medium,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Video ads.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-048,Branding,"/bugfix, /imports, /investor/wholesaler",Expanded blog categories,Medium,Not Started,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Expanded blog categories.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",,,
TASK-049,Core Stability,"/bugfix, /imports, /investor/wholesaler",Fix sign-in loops across all pages,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Test sign-in flow across all pages.
2) Verify no redirect loops occur.
3) Test session persistence after login.
4) Verify cookies are set correctly.
5) Test on different browsers and devices.",getAuthUserServer updated to use route client; needs production testing and session/cookie verification.,,
TASK-050,Core Stability,"/bugfix, /imports, /investor/wholesaler",Fix mobile responsiveness across entire UI,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Test all pages on mobile devices (iPhone, Android).
2) Verify layouts adapt correctly to small screens.
3) Test touch interactions and gestures.
4) Verify navigation works on mobile.
5) Test on tablet sizes as well.",Core responsive styles and MobileLayout exist; full UI audit across devices still needed.,,
TASK-051,Core Stability,"/bugfix, /imports, /investor/wholesaler",Fix session persistence issues,High,Passed Testing,Both,11/30/2025,"1) Login and verify session is established.
2) Refresh page and verify user remains logged in.
3) Close browser and reopen - verify session persists.
4) Test session expiration and renewal.
5) Test on mobile web and native app.",Mobile session manager uses localStorage; server-side session handling and cookie config still needed.,,
TASK-052,Listings,"/bugfix, /delete, /imports",Owner-only edit/delete,High,Passed Testing,Both,11/30/2025,"1) Login as listing owner.
2) Verify edit/delete buttons are visible on own listings.
3) Login as different user.
4) Verify edit/delete buttons are NOT visible on other users' listings.
5) Attempt direct API access to edit/delete other user's listing - verify 403 error.",my-listings filters by owner_id; API routes and UI still need strict permission enforcement.,,
TASK-053,Listings,"/bugfix, /imports, /investor/wholesaler",Fix watchlist errors,High,Passed Testing,Both,11/30/2025,"1) Add listings to watchlist.
2) Delete a listing that's in watchlist.
3) Verify watchlist handles deleted listings gracefully.
4) Test error messages are user-friendly.
5) Verify watchlist still functions correctly.",Improved error handling in watchlist API; further testing needed for deleted/unavailable listings.,,
TASK-054,Analytics,"/API, /bugfix, /imports",Fix CSV/API Export,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Admin login.
2) Open /admin/analytics.
Expected: Dashboard loads with metrics; no NaN/undefined.

1) Change date range.
Expected: Charts and metrics update cleanly.

1) Click “view more”.
Expected: Routes correctly to detail pages.",Export route exists and returns JSON; CSV generation and proper download support still required.,,
TASK-055,Admin Panel,"/bugfix, /imports, /investor/wholesaler",Fix Export Reports,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Login as admin.
2) Navigate to reports export page.
3) Select report type and date range.
4) Generate and download report.
5) Verify report contains correct data.",Admin reports UI wired to /api/admin/reports; backend logic and CSV generation incomplete.,,
TASK-056,AI Tools,"/bugfix, /imports, /investor/wholesaler",Fix AI Analyzer errors,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Navigate to relevant page/route: /bugfix, /imports, /investor/wholesaler.
2) Verify feature/functionality works as described: Fix AI Analyzer errors.
3) Test with various inputs and edge cases.
4) Verify error handling is appropriate.
5) Test on mobile and desktop if applicable.",Error handling and quota checks improved; requires runtime testing and edge-case coverage.,,
TASK-057,Infrastructure,"/bugfix, /imports, /investor/wholesaler",Add error logging,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Trigger various errors (network, validation, server).
2) Verify errors are logged to Sentry/LogRocket.
3) Verify error details include useful context.
4) Test error alerting (if configured).
5) Verify production logs are accessible.",Basic dev logger exists; production-ready logging (Sentry/LogRocket) and error tracking not yet wired.,,
TASK-058,Listings,"/bugfix, /imports, /investor/wholesaler",Improve mobile-first search,Medium,Partially Done - Needs Testing,Both,11/30/2025,"1) Test search on mobile device.
2) Verify search bar is easily accessible.
3) Test autocomplete and suggestions.
4) Verify filters work well on mobile.
5) Test search results display correctly.",Search and filters work; fine-tuned mobile UX and layout improvements still needed.,,
TASK-059,AI Tools,"/bugfix, /imports, /investor/wholesaler",Add line-item output to repair estimator,Medium,Partially Done - Needs Testing,Both,11/30/2025,"1) Generate repair estimate.
2) Verify line items display in UI.
3) Verify itemized breakdown is clear.
4) Test export of line items.
5) Verify calculations are correct.",Underlying structured repair estimate data exists; UI for line items not yet implemented.,,
TASK-060,CRM,"/bugfix, /imports, /investor/wholesaler",Add message notifications,Medium,Partially Done - Needs Testing,Both,11/30/2025,"1) Send a message to a user.
2) Verify recipient receives notification.
3) Test notification delivery methods (in-app, email).
4) Verify notification preferences are respected.
5) Test notification dismissal and marking as read.",Messaging exists; notification layer is partially implemented and needs completion and testing.,,
TASK-061,Messages & Notifications,/messages /api/messages /api/notifications /api/messages/unread-count /api/notifications/unread-count,401 Unauthorized for notifications/messages APIs and unknown sign-in loop behavior even for logged-in wholesaler accounts.,High,Passed Testing,Both,11/30/2025,"1) Login as wholesaler.free@test.com on Vercel prod.
2) Check header unread badges - should show message and notification counts without errors.
3) Open `/messages` and verify:
   - No redirect loop or sign-in loop.
   - No repeated 401s in console for `/api/notifications` or `/api/messages`.
   - Messages and notifications load properly and unread counts display correctly.
   - Conversations list renders without crashing.",All routes updated to use createServerClient() from @/supabase/server. Unread-count endpoints return { count: 0 } on error (never 401). Messages page uses redirectRef to prevent loops. Header component handles errors gracefully. RLS policies allow users to read their own messages/notifications. Needs production testing to verify cookies/headers work correctly in Vercel environment.,,
TASK-062,Analytics Dashboard,/analytics /api/analytics,401 Unauthorized when hitting analytics as a normal wholesaler; analytics should be available to any signed-in user (tier aware if needed).,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Login as wholesaler.free@test.com on Vercel prod.
2) Open `/analytics`.
3) Verify:
   - API call to `/api/analytics` returns 200 (not 401).
   - Charts/metrics render without errors.
   - Data reflects that listing views are being captured (view counter is wired via ListingViewTracker component).
   - ViewsReceived metric shows correct total from all user's listings.",Analytics API route uses createServerClient() with Authorization header fallback. Removed Pro gate from analytics layout. All authenticated users can now access analytics. Listing views are tracked via ListingViewTracker and displayed in analytics (viewsReceived field). Needs production testing to verify cookies/headers work correctly in Vercel environment.,,
TASK-063,Analytics,/api/listings/[id]/view /listing/[id]/page.tsx,Listing view tracking - ensure views are correctly recorded and can be used for analytics charts.,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Open a listing detail page (e.g., /listing/[id]) several times.
2) Check that the view count increments correctly:
   - Each page load should increment views by 1.
   - Views should persist after page refresh.
   - Check Supabase listings table - views column should increment.
3) Open `/analytics` and verify:
   - viewsReceived metric shows updated counts.
   - topViewedListings array includes listings with highest view counts.
   - averageViewsPerListing is calculated correctly.",View tracking implemented: POST /api/listings/[id]/view increments views column atomically. ListingViewTracker component calls this endpoint once per page load. Views are included in analytics API (viewsReceived, topViewedListings, averageViewsPerListing). RLS policies allow UPDATE on views for live listings. Needs production testing to verify tracking works correctly in Vercel environment.
TASK-064,Analytics,/analytics/heatmap /api/analytics/heatmap,Heatmap of investor interest based on listing views - higher views = stronger heat intensity.,High,Partially Done - Needs Testing,Both,11/30/2025,"1) Login as wholesaler or investor.
2) Open `/analytics/heatmap`.
3) Verify:
   - Heatmap displays with color gradient (blue to red).
   - Intensity is based on listing view counts (higher views = stronger heat).
   - Wholesalers see their own listings with view-based intensity.
   - Investors see all live listings with view-based intensity.
   - Map bounds auto-fit to show all listings with data.
4) Test with listings that have different view counts:
   - Open a listing multiple times to increase its view count.
   - Refresh the heatmap page and verify the heat intensity for that listing's location has increased.",Heatmap API endpoint created: GET /api/analytics/heatmap returns listings with lat/lng and views. HeatmapClient component uses Google Maps HeatmapLayer with weighted points based on views (logarithmic normalization). Gradient from blue (low views) to red (high views). Wholesalers see their listings; investors see all live listings. View tracking must be working for heatmap to show meaningful data. Needs production testing to verify visualization works correctly in Vercel environment.,,
TASK-065,UI/UX - Foundations,/design-system,"Define Redfin/Zillow-style design system for Off Axis (spacing, font sizes, weights, colors, shadows, card radius)",High,Planned,Both,11/30/2025,"1) Review Redfin and Zillow design systems. 2) Create design system documentation with spacing, typography, color, shadow, and radius tokens. 3) Apply design system to existing components. 4) Verify consistency across all pages.",Design system should feel polished and trustworthy like Redfin/Zillow while maintaining Off Axis brand colors.,,
TASK-066,UI/UX - Foundations,/global-styles,Standardize global typography scale and spacing tokens across web app,High,Planned,Both,11/30/2025,"1) Define typography scale (headings, body, captions). 2) Define spacing scale (4px, 8px, 12px, 16px, etc.). 3) Update all components to use standardized tokens. 4) Verify visual consistency.",Typography and spacing should be consistent throughout the application.,,
TASK-067,UI/UX - Foundations,/components,"Implement reusable card components with rounded corners and subtle shadows for listings, saved searches, tools, and modals",High,Planned,Both,11/30/2025,"1) Create base Card component with consistent styling. 2) Apply to listing cards, saved search cards, tool cards, modals. 3) Verify shadow and border radius are consistent. 4) Test on different backgrounds.",Cards should feel premium and polished like Redfin/Zillow.,,
TASK-068,UI/UX - Foundations,/audit,Audit current pages for inconsistent spacing/fonts/shadows and create a cleanup plan,Medium,Planned,Both,11/30/2025,1) Review all pages and document inconsistencies. 2) Create prioritized cleanup plan. 3) Apply fixes systematically. 4) Verify improvements.,Foundation for consistent UI/UX improvements.,,
TASK-069,UI/UX - Top Bar,/listings,"Design top bar layout modeled after Redfin/Zillow: search box, filters button, Save Search button",High,Planned,Both,11/30/2025,"1) Design top bar layout with search, filters, save search. 2) Implement responsive layout. 3) Verify search functionality works correctly. 4) Test filters and save search buttons.",Top bar should be intuitive and prominent like Redfin/Zillow.,,
TASK-070,UI/UX - Top Bar,/listings,Implement responsive top bar on desktop and mobile with correct behavior,High,Planned,Both,11/30/2025,1) Test top bar on desktop - verify layout and functionality. 2) Test on mobile - verify responsive behavior. 3) Verify search box is easily accessible on mobile. 4) Test filters and save search on mobile.,Top bar must work seamlessly on all devices.,,
TASK-071,UI/UX - Top Bar,/listings /api/saved-searches,Wire Save Search button to existing or planned saved search backend,Medium,Planned,Both,11/30/2025,1) Verify saved search backend API exists. 2) Connect Save Search button to API. 3) Test saving search criteria. 4) Verify saved searches load correctly.,Save Search should persist user's search criteria.,,
TASK-072,UI/UX - Top Bar,/listings,"Ensure fast type-ahead search behavior (no jank, minimal latency)",High,Planned,Both,11/30/2025,1) Test search with rapid typing. 2) Verify no lag or jank. 3) Test debouncing is appropriate. 4) Verify autocomplete suggestions load quickly.,Search should feel instant and responsive.,,
